H1  ;NO ;NO ;WE ;WE ;WEGS;S2S;NO ;NO ;WE ;WE ;WE ;WS  ;H2 ;H2
NO  ;H1 ;NO ;WN ;NO ;G2S ;WS ;NO ;WE ;WN ;NO ;NO ;WS  ;NO ;H2
NO  ;NO ;H1 ;WN ;NO ;G2S ;WS ;NO ;WN ;NO ;NO ;NO ;WS  ;H2 ;NO
NO  ;NO ;NO ;WN ;G2S;G2W ;WS ;NO ;WN ;NO ;NO ;NO ;WE  ;WS ;H2
S1E ;WE ;WE ;WN ;G2 ;NO  ;WE ;WE ;WN ;G3S;G3W;G3W;NO  ;WE ;WS
WNGE;G1E;G1E;G1 ;NO ;NO  ;NO ;NO ;G3S;G3W;NO ;G3N;G3W ;G3W;WSGW
WN  ;NO ;WS ;WW ;WW ;G4  ;NO ;NO ;G3S;NO ;WS ;WW ;WW  ;WW ;S3W
WN  ;NO ;WS ;NO ;WN ;G4N ;NO ;NO ;G3E;G3S;WS ;NO ;NO  ;NO ;NO
WN  ;WW ;WW ;NO ;WN ;G4N ;WS ;WW ;WW ;G3 ;WE ;WS ;NO  ;NO ;H3
NO  ;NO ;NO ;NO ;WN ;G4N ;WS ;NO ;WN ;NO ;NO ;WS ;NO  ;H3 ;H3
H4  ;NO ;H4 ;NO ;WN ;G4N ;WS ;NO ;WN ;NO ;WS ;WW ;H3  ;NO ;H3
H4  ;NO ;H4 ;NO ;WN ;G4N ;WS ;NO ;WN ;WW ;WW ;NO ;H3  ;NO ;H3
H4  ;NO ;H4 ;NO ;S4N;WWGN;WW ;NO ;NO ;NO ;H3 ;H3 ;H3  ;H3 ;H3
